dc,Station Number,Station Name,Latitude,Longitude,Height above MSL,Month Day Year in YYYY-MM-DD format,Precipitation in the 24 hours before 9am (local time) in mm,Quality of precipitation value,Number of days of rain within the days of accumulation,Accumulated number of days over which the precipitation was measured,Maximum temperature in 24 hours after 9am (local time) in Degrees C,Quality of maximum temperature in 24 hours after 9am (local time),Days of accumulation of maximum temperature,Minimum temperature in 24 hours before 9am (local time) in Degrees C,Quality of minimum temperature in 24 hours before 9am (local time),Days of accumulation of minimum temperature,Average daily dew point temperature in Degrees C,Quality of overall dew point temperature observations used,Relative humidity for observation at 09 hours Local Time in percentage %,Quality of relative humidity for observation at 09 hours Local Time,Relative humidity for observation at 15 hours Local Time in percentage %,Quality of relative humidity for observation at 15 hours Local Time,Wind speed at 09 hours Local Time measured in km/h,Quality of wind speed at 09 hours Local Time,Wind speed at 15 hours Local Time measured in km/h,Quality of wind speed at 15 hours Local Time,Wind direction at 09 hours Local Time as 16 compass point text,Quality of wind direction at 09 hours Local Time,Wind direction at 15 hours Local Time as 16 compass point text,Quality of wind direction at 15 hours Local Time,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,1999-12-31,   0.0,Y,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-01,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-02,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-03,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-04,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-05,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-06,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-07,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-08,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-09,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-10,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-11,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-12,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-13,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-14,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-15,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-16,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-17,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-18,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-19,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-20,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-21,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-22,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-23,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-24,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-25,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-26,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-27,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-28,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-29,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
dc, 14404,MILINGIMBI AIRPORT                      ,-12.0932,+134.8919,  15.0,2000-01-30,      , ,  ,  ,     , ,  ,     , ,  ,     , ,   , ,   , ,     , ,     , ,     , ,     , ,#
