dc,Station Number,Station Name,Latitude,Longitude,Height above MSL,Month Day Year in YYYY-MM-DD format,Precipitation in the 24 hours before 9am (local time) in mm,Quality of precipitation value,Number of days of rain within the days of accumulation,Accumulated number of days over which the precipitation was measured,Maximum temperature in 24 hours after 9am (local time) in Degrees C,Quality of maximum temperature in 24 hours after 9am (local time),Days of accumulation of maximum temperature,Minimum temperature in 24 hours before 9am (local time) in Degrees C,Quality of minimum temperature in 24 hours before 9am (local time),Days of accumulation of minimum temperature,Average daily dew point temperature in Degrees C,Quality of overall dew point temperature observations used,Wind speed at 00 hours Local Time measured in km/h,Quality of wind speed at 00 hours Local Time,Wind speed at 03 hours Local Time measured in km/h,Quality of wind speed at 03 hours Local Time,Wind speed at 06 hours Local Time measured in km/h,Quality of wind speed at 06 hours Local Time,Wind speed at 09 hours Local Time measured in km/h,Quality of wind speed at 09 hours Local Time,Wind speed at 12 hours Local Time measured in km/h,Quality of wind speed at 12 hours Local Time,Wind speed at 15 hours Local Time measured in km/h,Quality of wind speed at 15 hours Local Time,Wind speed at 18 hours Local Time measured in km/h,Quality of wind speed at 18 hours Local Time,Wind speed at 21 hours Local Time measured in km/h,Quality of wind speed at 21 hours Local Time,Wind direction at 00 hours Local Time as 16 compass point text,Quality of wind direction at 00 hours Local Time,Wind direction at 03 hours Local Time as 16 compass point text,Quality of wind direction at 03 hours Local Time,Wind direction at 06 hours Local Time as 16 compass point text,Quality of wind direction at 06 hours Local Time,Wind direction at 09 hours Local Time as 16 compass point text,Quality of wind direction at 09 hours Local Time,Wind direction at 12 hours Local Time as 16 compass point text,Quality of wind direction at 12 hours Local Time,Wind direction at 15 hours Local Time as 16 compass point text,Quality of wind direction at 15 hours Local Time,Wind direction at 18 hours Local Time as 16 compass point text,Quality of wind direction at 18 hours Local Time,Wind direction at 21 hours Local Time as 16 compass point text,Quality of wind direction at 21 hours Local Time,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-31,   3.0,N,  , 1, 33.0,Y,  , 23.0,Y,  , 23.2,Y,     , ,  5.4,Y,  9.4,Y, 11.2,Y, 25.9,Y, 25.9,Y, 22.3,Y,  5.4,Y,     , ,SSE  ,Y,SE   ,Y,ENE  ,Y,NNE  ,Y,N    ,Y,NNE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-01,   0.0,N,  ,  , 32.0,Y,  , 23.0,Y,  , 23.3,Y,  7.6,Y,  5.4,Y,  7.6,Y,  7.6,Y, 22.3,Y, 27.7,Y, 18.4,Y,  7.6,Y,E    ,Y,SE   ,Y,ESE  ,Y,SE   ,Y,N    ,Y,N    ,Y,NNE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-02,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 23.4,Y,  5.4,Y,  7.6,Y,  9.4,Y, 14.8,Y, 13.0,Y, 20.5,Y,     , , 11.2,Y,E    ,Y,E    ,Y,SSE  ,Y,SW   ,Y,NW   ,Y,N    ,Y,     , ,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-03,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 23.5,Y,  9.4,Y,  9.4,Y,  7.6,Y,  7.6,Y, 16.6,Y, 24.1,Y, 18.4,Y,     , ,SE   ,Y,SSE  ,Y,SSE  ,Y,NW   ,Y,NNW  ,Y,N    ,Y,NNE  ,Y,     , ,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-04,   0.8,N,  , 1, 33.0,Y,  , 26.0,Y,  , 23.5,Y,  0.0,Y, 16.6,Y,  7.6,Y, 18.4,Y, 25.9,Y, 24.1,Y, 18.4,Y,  7.6,Y,CALM ,Y,NNW  ,Y,NE   ,Y,N    ,Y,N    ,Y,N    ,Y,NNE  ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-05,   0.0,N,  ,  , 33.0,Y,  , 24.0,Y,  , 22.6,Y,  7.6,Y,  7.6,Y,  9.4,Y, 13.0,Y, 24.1,Y, 24.1,Y, 24.1,Y,  9.4,Y,E    ,Y,E    ,Y,E    ,Y,NE   ,Y,N    ,Y,N    ,Y,N    ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-06,   0.0,N,  ,  , 33.0,Y,  , 24.0,Y,  , 23.3,Y,  9.4,Y,  9.4,Y,  9.4,Y, 11.2,Y, 18.4,Y, 25.9,Y, 22.3,Y,  9.4,Y,E    ,Y,ENE  ,Y,SE   ,Y,N    ,Y,N    ,Y,N    ,Y,N    ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-07,   0.0,N,  ,  , 33.0,Y,  , 28.0,Y,  , 23.9,Y, 13.0,Y, 13.0,Y, 14.8,Y, 13.0,Y, 14.8,Y, 16.6,Y, 18.4,Y, 16.6,Y,N    ,Y,WNW  ,Y,WNW  ,Y,NW   ,Y,WNW  ,Y,NNW  ,Y,NNW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-08,   0.0,N,  ,  , 33.0,Y,  , 29.0,Y,  , 24.4,Y, 13.0,Y, 14.8,Y, 16.6,Y, 14.8,Y, 18.4,Y, 25.9,Y, 20.5,Y, 20.5,Y,NNW  ,Y,NNW  ,Y,NNW  ,Y,NW   ,Y,NW   ,Y,NNW  ,Y,NW   ,Y,WNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-09,   0.0,N,  ,  , 33.0,Y,  , 28.0,Y,  , 24.4,Y, 18.4,Y, 18.4,Y,     , ,  9.4,Y, 16.6,Y, 20.5,Y, 11.2,Y,  7.6,Y,SW   ,Y,WNW  ,Y,     , ,NW   ,Y,NW   ,Y,SSE  ,Y,ESE  ,Y,S    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-10,   4.0,N,  , 1, 34.0,Y,  , 25.0,Y,  , 23.4,Y,  5.4,Y, 11.2,Y,  7.6,Y, 14.8,Y, 22.3,Y, 22.3,Y, 14.8,Y, 13.0,Y,S    ,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,SE   ,Y,SE   ,Y,E    ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-11,   0.8,N,  , 1,     , ,  , 25.0,Y,  , 19.0,Y, 11.2,Y,  7.6,Y,  7.6,Y, 16.6,Y, 18.4,Y, 20.5,Y, 14.8,Y,  9.4,Y,SSE  ,Y,SE   ,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,E    ,Y,E    ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-12,      , ,  ,  , 35.0,Y,  ,     , ,  , 16.3,Y,     , ,  7.6,Y,     , ,     , , 20.5,Y, 16.6,Y, 16.6,Y, 13.0,Y,     , ,SE   ,Y,     , ,     , ,SE   ,Y,E    ,Y,E    ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-13,   0.0,N,  ,  , 36.0,Y,  , 19.0,Y,  , 16.8,Y,  9.4,Y, 11.2,Y,  9.4,Y, 14.8,Y, 11.2,Y, 14.8,Y, 14.8,Y,  7.6,Y,ESE  ,Y,SE   ,Y,SE   ,Y,SE   ,Y,SE   ,Y,ENE  ,Y,NE   ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-14,   0.0,N,  ,  , 32.0,Y,  , 25.0,Y,  , 23.1,Y,  5.4,Y,  5.4,Y,  5.4,Y, 11.2,Y, 18.4,Y, 20.5,Y, 14.8,Y,  7.6,Y,ESE  ,Y,E    ,Y,ESE  ,Y,SW   ,Y,E    ,Y,N    ,Y,E    ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-15,  11.0,N,  , 1, 32.0,Y,  , 24.0,Y,  , 23.9,Y,  7.6,Y,  9.4,Y,  7.6,Y, 13.0,Y, 18.4,Y, 20.5,Y, 14.8,Y, 14.8,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,NNE  ,Y,N    ,Y,N    ,Y,N    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-16,   0.0,N,  ,  , 32.0,Y,  , 27.0,Y,  , 24.2,Y,  9.4,Y, 18.4,Y, 16.6,Y, 13.0,Y, 16.6,Y, 24.1,Y, 22.3,Y, 18.4,Y,NE   ,Y,N    ,Y,NNW  ,Y,NNW  ,Y,NNW  ,Y,N    ,Y,N    ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-17,   0.0,N,  ,  , 33.0,Y,  , 29.0,Y,  , 24.6,Y, 20.5,Y, 20.5,Y, 14.8,Y, 18.4,Y, 20.5,Y, 22.3,Y, 22.3,Y, 24.1,Y,NNW  ,Y,NNW  ,Y,NW   ,Y,NW   ,Y,WNW  ,Y,NW   ,Y,NNW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-18,   0.0,N,  ,  , 34.0,Y,  , 29.0,Y,  , 23.6,Y, 20.5,Y, 24.1,Y, 27.7,Y, 20.5,Y, 20.5,Y, 22.3,Y, 13.0,Y, 13.0,Y,NNW  ,Y,NW   ,Y,NW   ,Y,W    ,Y,SSW  ,Y,SSE  ,Y,E    ,Y,SW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-19,  32.0,N,  , 1, 32.0,Y,  , 23.0,Y,  , 23.8,Y, 11.2,Y, 11.2,Y,  7.6,Y, 13.0,Y, 13.0,Y, 13.0,Y,     , , 11.2,Y,SE   ,Y,ESE  ,Y,ESE  ,Y,N    ,Y,NNW  ,Y,N    ,Y,     , ,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-20,   0.4,N,  , 1, 32.0,Y,  , 27.0,Y,  , 24.2,Y, 13.0,Y, 18.4,Y, 18.4,Y, 24.1,Y, 16.6,Y, 20.5,Y, 16.6,Y,  7.6,Y,NE   ,Y,NNE  ,Y,N    ,Y,N    ,Y,N    ,Y,N    ,Y,NNE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-21,   0.4,N,  , 1, 33.0,Y,  , 25.0,Y,  , 23.8,Y,  7.6,Y,  7.6,Y,  9.4,Y, 16.6,Y, 18.4,Y, 22.3,Y, 14.8,Y, 20.5,Y,E    ,Y,ESE  ,Y,ENE  ,Y,N    ,Y,N    ,Y,N    ,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-22,   0.0,N,  ,  , 32.0,Y,  , 25.0,Y,  , 23.5,Y,  9.4,Y, 13.0,Y, 11.2,Y, 14.8,Y, 13.0,Y, 22.3,Y, 11.2,Y,  7.6,Y,SE   ,Y,SSE  ,Y,SE   ,Y,SE   ,Y,NNW  ,Y,N    ,Y,NE   ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-23,   9.0,N,  , 1, 33.0,Y,  , 23.0,Y,  , 23.1,Y,  7.6,Y,  9.4,Y,  9.4,Y,  9.4,Y,     , , 14.8,Y, 14.8,Y,  0.0,Y,S    ,Y,SSE  ,Y,SE   ,Y,SSE  ,Y,     , ,E    ,Y,SE   ,Y,CALM ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-24,   1.0,N,  , 1, 32.0,Y,  , 25.0,Y,  , 23.3,Y,  7.6,Y,  7.6,Y, 13.0,Y, 14.8,Y, 11.2,Y, 14.8,Y, 11.2,Y,     , ,SE   ,Y,S    ,Y,S    ,Y,SSE  ,Y,E    ,Y,E    ,Y,ESE  ,Y,     , ,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-25,  50.0,N,  , 1, 31.0,Y,  , 24.0,Y,  , 23.8,Y,  7.6,Y,  9.4,Y,  7.6,Y,  7.6,Y,  7.6,Y, 11.2,Y, 11.2,Y,  7.6,Y,SE   ,Y,ESE  ,Y,SSE  ,Y,SE   ,Y,NW   ,Y,NNW  ,Y,E    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-26,  21.0,N,  , 1, 31.0,Y,  , 24.0,Y,  , 23.6,Y,  7.6,Y,  5.4,Y,  7.6,Y, 11.2,Y, 13.0,Y, 25.9,Y,  7.6,Y,  7.6,Y,ESE  ,Y,ESE  ,Y,S    ,Y,SE   ,Y,NNW  ,Y,SSW  ,Y,WNW  ,Y,S    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-27,   0.8,N,  , 1, 35.0,Y,  , 24.0,Y,  , 23.2,Y,  5.4,Y,  5.4,Y,  9.4,Y, 16.6,Y, 13.0,Y, 13.0,Y,  9.4,Y, 13.0,Y,S    ,Y,S    ,Y,S    ,Y,S    ,Y,SE   ,Y,ESE  ,Y,N    ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-28,   0.6,N,  , 1, 33.0,Y,  , 24.0,Y,  , 23.7,Y,  9.4,Y,  5.4,Y,  7.6,Y, 13.0,Y, 13.0,Y, 18.4,Y, 14.8,Y,  5.4,Y,SSE  ,Y,S    ,Y,S    ,Y,SSE  ,Y,N    ,Y,NNW  ,Y,N    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-29,   4.0,N,  , 1, 33.0,Y,  , 22.0,Y,  , 22.8,Y, 13.0,Y,  7.6,Y,  5.4,Y,  9.4,Y, 13.0,Y, 18.4,Y,  7.6,Y, 11.2,Y,ESE  ,Y,SE   ,Y,SE   ,Y,S    ,Y,WNW  ,Y,NW   ,Y,ENE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-30,   0.0,N,  ,  , 32.0,Y,  , 26.0,Y,  , 24.5,Y,  5.4,Y,  7.6,Y,     , , 13.0,Y, 11.2,Y, 22.3,Y, 11.2,Y, 11.2,Y,SE   ,Y,SE   ,Y,     , ,NNE  ,Y,NW   ,Y,NW   ,Y,NW   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-01,  60.0,N,  , 1, 32.0,Y,  , 24.0,Y,  , 24.7,Y, 20.5,Y, 13.0,Y, 14.8,Y,  1.8,Y,  9.4,Y, 18.4,Y, 16.6,Y,  7.6,Y,N    ,Y,ENE  ,Y,NNW  ,Y,S    ,Y,N    ,Y,N    ,Y,N    ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-02,  33.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 24.3,Y,  7.6,Y,  9.4,Y,  9.4,Y,  7.6,Y, 16.6,Y,  7.6,Y, 13.0,Y,  7.6,Y,E    ,Y,ESE  ,Y,NNW  ,Y,E    ,Y,N    ,Y,ENE  ,Y,ESE  ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-03,  18.0,N,  , 1, 32.0,Y,  , 24.0,Y,  , 23.8,Y,  9.4,Y, 11.2,Y,  5.4,Y,  7.6,Y, 25.9,Y, 20.5,Y,  9.4,Y,  7.6,Y,SE   ,Y,ESE  ,Y,S    ,Y,E    ,Y,N    ,Y,ENE  ,Y,E    ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-04,   0.0,N,  ,  , 34.0,Y,  , 25.0,Y,  , 23.8,Y,  0.0,Y,  7.6,Y,  9.4,Y, 13.0,Y, 13.0,Y, 16.6,Y,  9.4,Y, 11.2,Y,CALM ,Y,SSE  ,Y,SSE  ,Y,ESE  ,Y,ESE  ,Y,ENE  ,Y,E    ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-05,   0.6,N,  , 1, 34.0,Y,  , 25.0,Y,  , 23.5,Y,  7.6,Y,  7.6,Y,  5.4,Y, 16.6,Y,     , , 16.6,Y,  9.4,Y,  9.4,Y,E    ,Y,E    ,Y,ESE  ,Y,E    ,Y,     , ,NE   ,Y,E    ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-06,   3.0,N,  , 1, 33.0,Y,  , 25.0,Y,  , 24.0,Y,  9.4,Y,  9.4,Y,  7.6,Y, 14.8,Y,  9.4,Y, 24.1,Y,  9.4,Y, 13.0,Y,SE   ,Y,SSE  ,Y,ESE  ,Y,E    ,Y,SE   ,Y,NNE  ,Y,E    ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-07,   5.0,N,  , 1, 29.0,Y,  , 25.0,Y,  , 23.8,Y,  9.4,Y,  7.6,Y,  7.6,Y, 14.8,Y,     , , 25.9,Y, 14.8,Y,  7.6,Y,ESE  ,Y,ESE  ,Y,SSE  ,Y,E    ,Y,     , ,NNE  ,Y,S    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-08,  53.0,N,  , 1, 31.0,Y,  , 24.0,Y,  , 24.2,Y,  7.6,Y,  7.6,Y,  7.6,Y,  7.6,Y, 16.6,Y,     , , 11.2,Y, 11.2,Y,SSE  ,Y,SE   ,Y,ESE  ,Y,E    ,Y,NNE  ,Y,     , ,ENE  ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-09,  47.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 23.9,Y, 11.2,Y, 13.0,Y, 11.2,Y,  1.8,Y, 20.5,Y, 27.7,Y, 20.5,Y,     , ,NNE  ,Y,NNE  ,Y,NE   ,Y,N    ,Y,NNE  ,Y,N    ,Y,N    ,Y,     , ,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-10,   1.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 23.4,Y, 16.6,Y,  9.4,Y,  9.4,Y, 18.4,Y, 16.6,Y,  5.4,Y, 14.8,Y,     , ,NNE  ,Y,E    ,Y,ENE  ,Y,NNE  ,Y,E    ,Y,ENE  ,Y,NE   ,Y,     , ,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-11,   9.0,N,  , 1, 33.0,Y,  , 24.0,Y,  , 23.5,Y,  7.6,Y,  7.6,Y,  9.4,Y,  5.4,Y, 18.4,Y, 24.1,Y, 20.5,Y, 11.2,Y,E    ,Y,E    ,Y,E    ,Y,ESE  ,Y,NE   ,Y,N    ,Y,NNE  ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-12,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 23.4,Y,  9.4,Y,  9.4,Y,  9.4,Y, 13.0,Y, 22.3,Y, 20.5,Y, 20.5,Y,  7.6,Y,ESE  ,Y,E    ,Y,E    ,Y,N    ,Y,N    ,Y,N    ,Y,N    ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-13,   0.0,N,  ,  , 32.0,Y,  , 23.0,Y,  , 23.2,Y,  7.6,Y,  9.4,Y,  9.4,Y,  9.4,Y, 14.8,Y,     , , 22.3,Y, 20.5,Y,E    ,Y,ENE  ,Y,E    ,Y,N    ,Y,NNW  ,Y,     , ,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-14,   0.0,N,  ,  ,     , ,  , 25.0,Y,  , 22.8,Y,     , ,     , , 18.4,Y, 18.4,Y, 13.0,Y, 13.0,Y, 16.6,Y, 13.0,Y,     , ,     , ,N    ,Y,N    ,Y,N    ,Y,NNW  ,Y,N    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-15,      , ,  ,  , 33.0,Y,  ,     , ,  , 23.5,Y,     , ,  9.4,Y,  9.4,Y,     , ,     , , 18.4,Y, 18.4,Y,  9.4,Y,     , ,E    ,Y,ENE  ,Y,     , ,     , ,N    ,Y,N    ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-16,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 23.7,Y,  9.4,Y,  7.6,Y,  9.4,Y, 18.4,Y, 22.3,Y, 22.3,Y, 18.4,Y, 11.2,Y,E    ,Y,E    ,Y,SE   ,Y,NNE  ,Y,N    ,Y,N    ,Y,N    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-17,   1.0,N,  , 1, 33.0,Y,  , 25.0,Y,  , 24.3,Y,  9.4,Y, 16.6,Y,  9.4,Y, 11.2,Y, 20.5,Y, 22.3,Y, 20.5,Y, 18.4,Y,NNE  ,Y,N    ,Y,SE   ,Y,NE   ,Y,N    ,Y,N    ,Y,NNE  ,Y,N    ,Y,#
