dc,Station Number,Station Name,Latitude,Longitude,Height above MSL,Month Day Year in YYYY-MM-DD format,Precipitation in the 24 hours before 9am (local time) in mm,Quality of precipitation value,Number of days of rain within the days of accumulation,Accumulated number of days over which the precipitation was measured,Maximum temperature in 24 hours after 9am (local time) in Degrees C,Quality of maximum temperature in 24 hours after 9am (local time),Days of accumulation of maximum temperature,Minimum temperature in 24 hours before 9am (local time) in Degrees C,Quality of minimum temperature in 24 hours before 9am (local time),Days of accumulation of minimum temperature,Average daily dew point temperature in Degrees C,Quality of overall dew point temperature observations used,Relative humidity for observation at 09 hours Local Time in percentage %,Quality of relative humidity for observation at 09 hours Local Time,Relative humidity for observation at 15 hours Local Time in percentage %,Quality of relative humidity for observation at 15 hours Local Time,Wind speed at 09 hours Local Time measured in km/h,Quality of wind speed at 09 hours Local Time,Wind speed at 15 hours Local Time measured in km/h,Quality of wind speed at 15 hours Local Time,Wind direction at 09 hours Local Time as 16 compass point text,Quality of wind direction at 09 hours Local Time,Wind direction at 15 hours Local Time as 16 compass point text,Quality of wind direction at 15 hours Local Time,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-10-31,   3.0,N,  , 1, 33.0,Y,  , 23.0,Y,  , 23.2,Y, 66,Y, 68,Y, 11.2,Y, 25.9,Y,ENE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-01,   0.0,N,  ,  , 32.0,Y,  , 23.0,Y,  , 23.3,Y, 66,Y, 65,Y,  7.6,Y, 27.7,Y,SE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-02,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 23.4,Y, 69,Y, 67,Y, 14.8,Y, 20.5,Y,SW   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-03,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 23.5,Y, 72,Y, 66,Y,  7.6,Y, 24.1,Y,NW   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-04,   0.8,N,  , 1, 33.0,Y,  , 26.0,Y,  , 23.5,Y, 67,Y, 63,Y, 18.4,Y, 24.1,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-05,   0.0,N,  ,  , 33.0,Y,  , 24.0,Y,  , 22.6,Y, 50,Y, 60,Y, 13.0,Y, 24.1,Y,NE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-06,   0.0,N,  ,  , 33.0,Y,  , 24.0,Y,  , 23.3,Y, 68,Y, 64,Y, 11.2,Y, 25.9,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-07,   0.0,N,  ,  , 33.0,Y,  , 28.0,Y,  , 23.9,Y, 66,Y, 66,Y, 13.0,Y, 16.6,Y,NW   ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-08,   0.0,N,  ,  , 33.0,Y,  , 29.0,Y,  , 24.4,Y, 67,Y, 66,Y, 14.8,Y, 25.9,Y,NW   ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-09,   0.0,N,  ,  , 33.0,Y,  , 28.0,Y,  , 24.4,Y, 70,Y, 73,Y,  9.4,Y, 20.5,Y,NW   ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-10,   4.0,N,  , 1, 34.0,Y,  , 25.0,Y,  , 23.4,Y, 72,Y, 58,Y, 14.8,Y, 22.3,Y,ESE  ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-11,   0.8,N,  , 1,     , ,  , 25.0,Y,  , 19.0,Y, 58,Y, 35,Y, 16.6,Y, 20.5,Y,ESE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-12,      , ,  ,  , 35.0,Y,  ,     , ,  , 16.3,Y,   , , 32,Y,     , , 16.6,Y,     , ,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-13,   0.0,N,  ,  , 36.0,Y,  , 19.0,Y,  , 16.8,Y, 41,Y, 28,Y, 14.8,Y, 14.8,Y,SE   ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-14,   0.0,N,  ,  , 32.0,Y,  , 25.0,Y,  , 23.1,Y, 74,Y, 61,Y, 11.2,Y, 20.5,Y,SW   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-15,  11.0,N,  , 1, 32.0,Y,  , 24.0,Y,  , 23.9,Y, 70,Y, 62,Y, 13.0,Y, 20.5,Y,NNE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-16,   0.0,N,  ,  , 32.0,Y,  , 27.0,Y,  , 24.2,Y, 69,Y, 67,Y, 13.0,Y, 24.1,Y,NNW  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-17,   0.0,N,  ,  , 33.0,Y,  , 29.0,Y,  , 24.6,Y, 70,Y, 68,Y, 18.4,Y, 22.3,Y,NW   ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-18,   0.0,N,  ,  , 34.0,Y,  , 29.0,Y,  , 23.6,Y, 71,Y, 93,Y, 20.5,Y, 22.3,Y,W    ,Y,SSE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-19,  32.0,N,  , 1, 32.0,Y,  , 23.0,Y,  , 23.8,Y, 74,Y, 70,Y, 13.0,Y, 13.0,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-20,   0.4,N,  , 1, 32.0,Y,  , 27.0,Y,  , 24.2,Y, 81,Y, 73,Y, 24.1,Y, 20.5,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-21,   0.4,N,  , 1, 33.0,Y,  , 25.0,Y,  , 23.8,Y, 68,Y, 64,Y, 16.6,Y, 22.3,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-22,   0.0,N,  ,  , 32.0,Y,  , 25.0,Y,  , 23.5,Y, 70,Y, 65,Y, 14.8,Y, 22.3,Y,SE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-23,   9.0,N,  , 1, 33.0,Y,  , 23.0,Y,  , 23.1,Y, 83,Y, 57,Y,  9.4,Y, 14.8,Y,SSE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-24,   1.0,N,  , 1, 32.0,Y,  , 25.0,Y,  , 23.3,Y, 72,Y, 72,Y, 14.8,Y, 14.8,Y,SSE  ,Y,E    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-25,  50.0,N,  , 1, 31.0,Y,  , 24.0,Y,  , 23.8,Y, 95,Y, 68,Y,  7.6,Y, 11.2,Y,SE   ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-26,  21.0,N,  , 1, 31.0,Y,  , 24.0,Y,  , 23.6,Y, 75,Y, 70,Y, 11.2,Y, 25.9,Y,SE   ,Y,SSW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-27,   0.8,N,  , 1, 35.0,Y,  , 24.0,Y,  , 23.2,Y, 71,Y, 47,Y, 16.6,Y, 13.0,Y,S    ,Y,ESE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-28,   0.6,N,  , 1, 33.0,Y,  , 24.0,Y,  , 23.7,Y, 68,Y, 68,Y, 13.0,Y, 18.4,Y,SSE  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-29,   4.0,N,  , 1, 33.0,Y,  , 22.0,Y,  , 22.8,Y, 65,Y, 58,Y,  9.4,Y, 18.4,Y,S    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-11-30,   0.0,N,  ,  , 32.0,Y,  , 26.0,Y,  , 24.5,Y, 84,Y, 65,Y, 13.0,Y, 22.3,Y,NNE  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-01,  60.0,N,  , 1, 32.0,Y,  , 24.0,Y,  , 24.7,Y, 83,Y, 66,Y,  1.8,Y, 18.4,Y,S    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-02,  33.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 24.3,Y, 83,Y, 70,Y,  7.6,Y,  7.6,Y,E    ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-03,  18.0,N,  , 1, 32.0,Y,  , 24.0,Y,  , 23.8,Y, 81,Y, 67,Y,  7.6,Y, 20.5,Y,E    ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-04,   0.0,N,  ,  , 34.0,Y,  , 25.0,Y,  , 23.8,Y, 72,Y, 75,Y, 13.0,Y, 16.6,Y,ESE  ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-05,   0.6,N,  , 1, 34.0,Y,  , 25.0,Y,  , 23.5,Y, 60,Y, 59,Y, 16.6,Y, 16.6,Y,E    ,Y,NE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-06,   3.0,N,  , 1, 33.0,Y,  , 25.0,Y,  , 24.0,Y, 73,Y, 71,Y, 14.8,Y, 24.1,Y,E    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-07,   5.0,N,  , 1, 29.0,Y,  , 25.0,Y,  , 23.8,Y, 78,Y, 92,Y, 14.8,Y, 25.9,Y,E    ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-08,  53.0,N,  , 1, 31.0,Y,  , 24.0,Y,  , 24.2,Y, 80,Y,   , ,  7.6,Y,     , ,E    ,Y,     , ,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-09,  47.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 23.9,Y, 83,Y, 67,Y,  1.8,Y, 27.7,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-10,   1.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 23.4,Y, 71,Y, 76,Y, 18.4,Y,  5.4,Y,NNE  ,Y,ENE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-11,   9.0,N,  , 1, 33.0,Y,  , 24.0,Y,  , 23.5,Y, 72,Y, 62,Y,  5.4,Y, 24.1,Y,ESE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-12,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 23.4,Y, 71,Y, 62,Y, 13.0,Y, 20.5,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-13,   0.0,N,  ,  , 32.0,Y,  , 23.0,Y,  , 23.2,Y, 67,Y,   , ,  9.4,Y,     , ,N    ,Y,     , ,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-14,   0.0,N,  ,  ,     , ,  , 25.0,Y,  , 22.8,Y, 67,Y, 60,Y, 18.4,Y, 13.0,Y,N    ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-15,      , ,  ,  , 33.0,Y,  ,     , ,  , 23.5,Y,   , , 63,Y,     , , 18.4,Y,     , ,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-16,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 23.7,Y, 62,Y, 60,Y, 18.4,Y, 22.3,Y,NNE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-17,   1.0,N,  , 1, 33.0,Y,  , 25.0,Y,  , 24.3,Y, 71,Y, 64,Y, 11.2,Y, 22.3,Y,NE   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-18,   0.0,N,  ,  , 32.0,Y,  , 25.0,Y,  , 24.3,Y, 71,Y, 84,Y,  5.4,Y,  9.4,Y,E    ,Y,SE   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-19,   0.2,N,  , 1, 34.0,Y,  , 25.0,Y,  , 24.1,Y, 70,Y, 60,Y, 11.2,Y, 25.9,Y,ENE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-20,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 24.1,Y, 62,Y, 68,Y, 11.2,Y, 13.0,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-21,   0.0,N,  ,  , 33.0,Y,  , 26.0,Y,  , 24.4,Y, 69,Y, 66,Y,  7.6,Y, 20.5,Y,W    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-22,   0.0,N,  ,  , 30.0,Y,  , 28.0,Y,  , 24.4,Y, 72,Y, 72,Y, 25.9,Y, 20.5,Y,NNW  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-23,  34.0,N,  , 1, 29.0,Y,  , 25.0,Y,  , 24.6,Y, 91,Y, 83,Y, 13.0,Y, 31.3,Y,W    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-24,  17.0,N,  , 1, 31.0,Y,  , 26.0,Y,  , 24.7,Y, 92,Y, 76,Y,  7.6,Y, 29.5,Y,NE   ,Y,WNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-25,  20.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 24.5,Y, 86,Y, 76,Y, 29.5,Y, 22.3,Y,SSW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-26,   0.8,N,  , 1, 32.0,Y,  , 26.0,Y,  , 25.2,Y, 75,Y, 71,Y, 24.1,Y, 27.7,Y,W    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-27,  19.0,N,  , 1, 32.0,Y,  , 24.0,Y,  , 24.8,Y, 73,Y, 73,Y, 16.6,Y, 24.1,Y,W    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-28,   0.0,N,  ,  , 31.0,Y,  , 27.0,Y,  , 24.7,Y, 76,Y, 77,Y, 13.0,Y, 29.5,Y,S    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-29,  39.0,N,  , 1, 31.0,Y,  , 24.0,Y,  , 24.2,Y, 92,Y, 76,Y,  5.4,Y, 18.4,Y,S    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-30,   0.2,N,  , 1, 32.0,Y,  , 25.0,Y,  , 24.3,Y, 73,Y, 68,Y, 16.6,Y, 20.5,Y,WSW  ,Y,WNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,1999-12-31,  10.0,N,  , 1, 32.0,Y,  , 23.0,Y,  , 24.1,Y, 72,Y, 72,Y, 22.3,Y, 20.5,Y,NNW  ,Y,WNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-01,  28.0,N,  , 1, 31.0,Y,  , 24.0,Y,  , 24.1,Y, 82,Y, 68,Y, 16.6,Y, 18.4,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-02,   0.0,N,  ,  , 32.0,Y,  , 24.0,Y,  , 24.1,Y, 68,Y, 70,Y, 14.8,Y, 18.4,Y,N    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-03,   0.2,N,  , 1, 33.0,Y,  , 25.0,Y,  , 24.3,Y, 68,Y, 67,Y,  5.4,Y, 20.5,Y,E    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-04,   2.0,N,  , 1, 32.0,Y,  , 24.0,Y,  , 23.8,Y, 73,Y, 63,Y,  7.6,Y, 14.8,Y,ENE  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-05,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 24.4,Y, 72,Y, 64,Y, 22.3,Y, 16.6,Y,N    ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-06,   0.0,N,  ,  , 33.0,Y,  , 26.0,Y,  , 24.6,Y, 69,Y, 68,Y, 13.0,Y, 25.9,Y,NW   ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-07,   4.0,N,  , 1, 32.0,Y,  , 25.0,Y,  , 24.5,Y, 73,Y, 75,Y,  5.4,Y, 18.4,Y,WNW  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-08,   0.0,N,  ,  , 31.0,Y,  , 26.0,Y,  , 24.6,Y, 72,Y, 72,Y, 18.4,Y, 11.2,Y,WSW  ,Y,WNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-09,   2.0,N,  , 1, 31.0,Y,  , 26.0,Y,  , 25.0,Y, 70,Y, 75,Y,  9.4,Y, 13.0,Y,WSW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-10,   3.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 24.5,Y, 90,Y, 71,Y,  7.6,Y, 14.8,Y,E    ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-11,  26.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 24.9,Y, 80,Y, 73,Y,  1.8,Y, 22.3,Y,W    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-12,   0.0,N,  ,  , 33.0,Y,  , 28.0,Y,  , 25.1,Y, 70,Y, 67,Y, 22.3,Y, 22.3,Y,W    ,Y,WNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-13,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 25.4,Y, 77,Y, 72,Y, 25.9,Y, 22.3,Y,WSW  ,Y,WNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-14,  33.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 23.9,Y, 77,Y, 65,Y, 16.6,Y, 11.2,Y,SSE  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-15,   0.0,N,  ,  , 32.0,Y,  , 25.0,Y,  , 23.7,Y, 74,Y, 68,Y, 18.4,Y, 25.9,Y,WSW  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-16,   6.0,N,  , 1, 31.0,Y,  , 24.0,Y,  , 23.7,Y, 73,Y, 70,Y, 11.2,Y, 20.5,Y,SW   ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-17,   0.2,N,  , 1, 33.0,Y,  , 25.0,Y,  , 24.2,Y, 72,Y, 66,Y, 13.0,Y, 25.9,Y,SE   ,Y,NNE  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-18,  34.0,N,  , 1, 31.0,Y,  , 25.0,Y,  , 24.0,Y, 89,Y, 75,Y, 22.3,Y, 20.5,Y,NNE  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-19,  15.0,N,  , 1, 33.0,Y,  , 25.0,Y,  , 24.2,Y, 80,Y, 72,Y,  7.6,Y, 29.5,Y,E    ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-20,  50.0,N,  , 1, 30.0,Y,  , 24.0,Y,  , 23.8,Y, 80,Y, 71,Y, 18.4,Y, 16.6,Y,WNW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-21,   0.4,N,  , 1, 32.0,Y,  , 26.0,Y,  , 24.1,Y, 79,Y, 66,Y, 22.3,Y, 22.3,Y,WSW  ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-22,   0.0,N,  ,  , 32.0,Y,  , 28.0,Y,  , 24.2,Y, 74,Y, 61,Y, 22.3,Y, 29.5,Y,W    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-23,   0.0,N,  ,  , 32.0,Y,  , 28.0,Y,  , 23.7,Y, 69,Y, 71,Y, 27.7,Y, 29.5,Y,WSW  ,Y,WNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-24,   0.0,N,  ,  , 32.0,Y,  , 26.0,Y,  , 24.3,Y, 76,Y, 69,Y, 20.5,Y, 22.3,Y,W    ,Y,NW   ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-25,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 24.7,Y, 75,Y, 68,Y,  9.4,Y, 16.6,Y,WSW  ,Y,WNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-26,   0.0,N,  ,  , 33.0,Y,  , 25.0,Y,  , 24.1,Y, 71,Y, 66,Y, 11.2,Y, 13.0,Y,WSW  ,Y,NNW  ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-27,   0.0,N,  ,  , 33.0,Y,  , 24.0,Y,  , 23.5,Y, 69,Y, 62,Y,  7.6,Y, 16.6,Y,WSW  ,Y,N    ,Y,#
dc, 14517,NGAYAWILI                               ,-11.9971,+135.5726,   8.1,2000-01-28,   0.4,N,  , 1, 35.0,Y,  , 25.0,Y,  , 23.5,Y, 72,Y, 52,Y, 11.2,Y, 27.7,Y,E    ,Y,NNE  ,Y,#
